"id","username","tag","playtime","matches","rating","level","loses","damage_round","headshot","win","wins","kills","deaths","assists","kad_ratio","kills_round","clutches","top_agents_1","top_hours_agent_1","top_matches_agent_1","top_win_agent_1","top_kd_agent_1","top_weapon_1","top_weapon_headshot_1","top_weapon_2","top_weapon_headshot_2","top_maps_1","top_porcentagem_map_win_1"
1,"globeX ","meow","1,403h Playtime ","2,505 Matches ","1,063","470","1012","157.1","23.6%","58.2%","1,457","45,335","36,383","12,918","{1.60}","{0.9}","{668}","{Omen}","{""256 hours""}","{450}","55.3%","{1.20}","Vandal","36%","Phantom","32%","Sunset","75.3%"
2,"twitch azrex ","000","2,433h Playtime ","4,475 Matches ","1,025","483","2124","154.2","24.0%","51.7%","2,312","83,925","71,028","14,868","{1.39}","{0.9}","{861}","{Jett}","{""1,667 hours""}","{""3,073""}","52.1%","{1.21}",NULL,NULL,NULL,NULL,NULL,NULL
3,"lovers rock ","133","3,487h Playtime ","6,206 Matches ","1,023","649","2836","152.6","26.2%","52.8%","3,278","113,445","95,078","20,340","{1.41}","{0.9}","{""1,511""}","{Jett}","{""2,369 hours""}","{""4,233""}","53.8%","{1.24}","Vandal","51%","Operator","6%","Sunset","69.3%"
4,"primmieyk ","XGOD","1,910h Playtime ","3,499 Matches ","1,012","409","1432","169.9","38.0%","58.6%","2,050","69,903","52,296","13,530","{1.60}","{0.9}","{990}","{Jett}","{""555 hours""}","{""1,024""}","60.3%","{1.41}",NULL,NULL,NULL,NULL,NULL,NULL
5,"Ruzgar ","DARK","359h Playtime ","662 Matches ","1,008","93","241","168.4","27.1%","62.1%","411","12,961","10,424","2,740","{1.51}","{0.9}","{113}","{Jett}","{""81 hours""}","{156}","69.2%","{1.31}","Vandal","41%","Ghost","42%","Fracture","100.0%"
6,"gui ","2007","3,752h Playtime ","6,849 Matches ","983","730","3201","158.5","22.9%","51.7%","3,539","126,831","113,525","25,643","{1.34}","{0.9}","{""1,062""}","{Reyna}","{""1,912 hours""}","{""3,488""}","52.0%","{1.15}","Vandal","34%","Spectre","16%","Sunset","56.7%"
7,"ZachKappa ","EUW","2,378h Playtime ","4,150 Matches ","982","556","1846","154.6","25.8%","54.2%","2,251","73,096","61,476","19,181","{1.50}","{0.8}","{""1,143""}","{Jett}","{""471 hours""}","{821}","52.9%","{1.23}","Vandal","43%","Phantom","33%","Sunset","62.0%"
8,"HOWL xeus ","1TAP","1,256h Playtime ","2,272 Matches ","967","392","905","173.4","37.2%","58.8%","1,336","45,001","34,700","8,688","{1.55}","{0.9}","{455}","{Jett}","{""575 hours""}","{""1,043""}","61.6%","{1.32}",NULL,NULL,NULL,NULL,NULL,NULL
9,"exa ","v1c","2,438h Playtime ","4,457 Matches ","961","521","2056","143.7","24.0%","53.0%","2,361","72,477","71,197","27,821","{1.41}","{0.8}","{882}","{Jett}","{""298 hours""}","{548}","52.4%","{1.04}",NULL,NULL,NULL,NULL,NULL,NULL
10,"2G silentzz ","mari","3,164h Playtime ","5,588 Matches ","927","735","2511","164.0","29.8%","53.6%","2,996","107,798","89,155","22,191","{1.46}","{0.9}","{""1,011""}","{Jett}","{""1,469 hours""}","{""2,600""}","51.7%","{1.20}",NULL,NULL,NULL,NULL,NULL,NULL
